time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
79,699,717,621,580,692,569,662,880,634,886,-127884.12227864473,-131685.48960893563,-126740.32545959277,-123808.30885271357,-131662.87760269313,-127779.69598999812,-127270.8849879033,-127515.92181366764,-120358.54867249387,-129703.91941373836
80,709,708,632,567,701,583,671,877,645,873,-127897.3009182337,-131679.2436034096,-126745.24138487532,-123842.36865671826,-131635.32331745396,-127783.80705731404,-127270.51249474606,-127521.61033592229,-120349.17535385455,-129716.46146439959
81,704,722,648,568,710,594,678,875,631,868,-127895.93678568001,-131687.57526997032,-126743.63902177609,-123854.19555509412,-131622.70950701003,-127779.7368913908,-127272.64703660579,-127538.4764979898,-120371.89048935739,-129723.19673655368
82,703,726,629,588,729,585,677,896,636,869,-127905.50231656207,-131681.14450821676,-126723.07568795072,-123864.29230324308,-131609.17545503535,-127777.06840198483,-127268.52050333071,-127542.26625889564,-120390.01384675132,-129726.54546103986
83,711,713,656,590,752,603,678,893,625,891,-127924.09922703107,-131652.68278986402,-126705.05023982597,-123863.92600795657,-131607.4928476881,-127769.5192642374,-127269.26064880859,-127551.03585931023,-120393.94538657113,-129723.79109024095
84,714,708,648,579,752,626,679,881,642,898,-127951.55225179347,-131657.77810273506,-126682.58407842297,-123872.2503924767,-131600.26360649534,-127760.49980322334,-127272.4236483365,-127564.42599414349,-120419.57270400965,-129728.2124305834
85,732,713,655,606,768,625,680,896,644,896,-127948.21996127946,-131662.08145062055,-126695.98709074389,-123872.85180987172,-131587.43196947762,-127759.18273996277,-127271.08833140289,-127575.25085460061,-120426.29935175514,-129728.23908067173
86,733,721,661,597,762,619,683,872,625,904,-127958.22294898664,-131664.4259809038,-126716.58409289076,-123896.41779398931,-131588.97938278428,-127755.27292381626,-127266.91143478274,-127567.55670268326,-120432.77780589023,-129725.24971699092
87,727,730,643,594,781,613,685,895,635,899,-127973.02283259407,-131662.5242818932,-126700.71676779988,-123902.37712949642,-131597.33142844032,-127762.22385098906,-127260.7229054542,-127571.1864179044,-120421.01047856794,-129708.42006709139
88,736,738,642,587,794,591,703,891,641,910,-127989.39950396087,-131652.71361304278,-126696.15167550089,-123898.3399129089,-131609.62648571434,-127763.04399354414,-127269.44457542797,-127584.89951979204,-120411.64717117678,-129719.18472068454
89,722,752,650,594,799,605,704,891,622,904,-128009.79892043656,-131643.2925589675,-126680.63202089323,-123905.76664696373,-131634.5431830427,-127760.53691288072,-127273.11021350151,-127577.71294104622,-120421.27690491684,-129718.2863859371
90,712,728,642,588,793,603,721,886,624,903,-128018.80086803687,-131646.6630327672,-126636.95316190236,-123911.79902878606,-131628.9846623517,-127770.03679501568,-127269.28133435186,-127579.87004063094,-120436.95754519904,-129721.01879854813
91,709,712,623,598,788,587,721,890,636,893,-127993.15315198535,-131647.68339875352,-126612.97645052803,-123904.0527178702,-131640.49736071954,-127762.31721152352,-127267.54683838756,-127572.13403777873,-120432.95033088603,-129714.15951050114
92,699,706,618,601,783,585,704,868,652,917,-128028.72284658015,-131651.79422379535,-126608.92375610555,-123903.06299482058,-131611.3768191921,-127761.1913674813,-127274.65236244867,-127564.59990286366,-120444.06332341838,-129718.2763261386
93,709,683,605,587,762,599,692,871,646,909,-128037.78875739555,-131651.12547872655,-126594.22195629987,-123900.56132549643,-131610.06289668576,-127758.8562038497,-127281.09477980107,-127566.4906232754,-120436.18827662953,-129717.93024916004
94,710,696,614,592,778,619,701,893,632,919,-128054.64335343151,-131637.37743382656,-126587.35979688034,-123892.98682231958,-131605.77329370962,-127751.69255895543,-127286.75300711553,-127560.90780246875,-120456.12755122625,-129702.97161366092
95,717,686,631,580,780,632,705,887,653,903,-128087.77167044106,-131617.2985504278,-126574.20294574737,-123891.45512107573,-131598.33803949627,-127747.92952478248,-127276.5058480202,-127557.6575028397,-120455.88281610861,-129688.76581213866
96,735,676,623,575,780,637,705,878,664,905,-128104.82606585156,-131605.08870232053,-126536.03005919165,-123904.1853513023,-131610.68942521053,-127751.00718811745,-127284.19124971358,-127564.8032012212,-120474.74481205491,-129685.85421739968
97,754,686,626,576,757,639,727,866,655,903,-128110.32512972863,-131573.68272337556,-126551.67146430422,-123902.55379484153,-131609.5747897897,-127751.98431614689,-127290.52715657241,-127570.80988235961,-120464.21505926942,-129702.87471809823
98,751,675,620,582,755,653,715,883,678,911,-128119.45254398654,-131584.09497237942,-126540.47995691079,-123893.12482431189,-131618.1289052101,-127753.00940180071,-127298.77662118708,-127572.31866152403,-120446.74612564339,-129700.54583796787
99,748,666,618,594,759,644,715,884,690,906,-128124.09090697623,-131594.27103923564,-126511.81553966552,-123893.61081133368,-131617.7418680723,-127748.4494680516,-127294.45008933294,-127579.40607398843,-120450.88712038295,-129711.07141567806
