time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
72,88,97,152,12,65,89,90,60,55,102,2.5012277688688753,3.8130130617522506,6.7198047947168105,10.957717316838414,4.531401145655676,4.272850086411913,0.548940604891478,6.7002592392196245,7.276061444534274,3.606953139134036
73,85,96,146,9,59,85,88,60,53,99,2.42732360285964,3.700125744609183,6.341681111595948,10.271978508112971,4.27250363469029,3.9922986737321216,0.5287513296772764,6.31691142211225,6.856098603439214,3.4720422406774487
74,81,92,138,4,52,77,83,57,53,95,2.2943996584804704,3.4881000691070168,5.825419981625611,9.184686423297647,3.8686208873611085,3.5668823797492415,0.4965658260306628,5.739253820267208,6.193593237694147,3.234589502816162
75,74,82,122,2,43,70,80,52,53,86,2.130843574257319,3.2072167699096674,5.144915374226816,7.786384653889022,3.375442757150685,3.0144093368383915,0.4775477791253419,4.963436628643166,5.418369337012818,2.9620518254406853
76,68,74,107,0,35,58,69,51,48,75,1.9411715015212747,2.861421141655838,4.339893325315728,6.08333705756049,2.777433615920623,2.37461530102134,0.4385068591104143,4.066355807028306,4.488622969239093,2.626162892215293
77,55,62,72,0,21,49,51,46,43,51,1.7323823824648887,2.5043242467855262,3.4382014179466136,4.218378838908016,2.10660475067174,1.6582733676621817,0.38906339132394757,3.1007080483950604,3.455423044010451,2.2542440418525205
78,26,32,19,0,3,23,22,29,31,20,1.5119084194337258,2.1376066127081015,2.4759672528141747,2.283770426952047,1.410222870620493,0.8945122507537424,0.34000346625896466,2.070846470478175,2.3336715829395502,1.8575555039871807
79,29,34,23,0,0,21,23,31,31,22,1.2835900883890057,1.7620312202944224,1.509171557183967,0.30563804817664253,0.6845507395629404,0.11916353995760741,0.2871221019755991,1.0339630918342653,1.1983520003494046,1.444792157199062
80,57,63,80,0,18,49,47,46,46,54,1.0601929912664396,1.3861610207340593,0.5572123214576553,-1.6394416248994514,-0.028547150621282123,-0.6509278466964789,0.23445024273336634,0.02911315169852682,0.08091424570429348,1.0383354685959525
81,66,76,113,0,34,62,61,55,52,77,0.8699744977761344,1.0208007782897728,-0.3338030416091081,-3.4811261736806864,-0.6823060053633705,-1.3739858361880655,0.18578513320415982,-0.9230366967188114,-0.9721227984108736,0.6541815645158723
82,78,88,136,0,42,73,78,58,56,89,0.6952637933182659,0.7101693702998457,-1.1448683926624768,-5.12090083296188,-1.283396526762844,-2.0212786242062513,0.14962819266354152,-1.764157830278555,-1.9015016130715996,0.3167912074707627
83,84,93,153,2,46,81,84,60,62,98,0.5772755667254561,0.440836568434341,-1.8012992814524578,-6.436816650586532,-1.7852914957379695,-2.5705166934036345,0.12006038696013695,-2.480368613260828,-2.6817556341261204,0.02032129723376727
84,85,101,158,4,51,90,87,63,63,104,0.4623333363351464,0.2145871471498021,-2.3155813669552825,-7.49916477300036,-2.172778385783937,-2.980287791888175,0.10641718688898577,-3.0390797276669637,-3.250961272330004,-0.20916950613332705
85,86,107,166,5,57,94,91,65,64,111,0.3860716421701066,0.0757535988837259,-2.6508202991733283,-8.21596283843349,-2.4243056618839147,-3.2628597195615527,0.09271883184854167,-3.4085600159143796,-3.663649789804428,-0.35420474643578903
86,88,111,168,6,59,96,93,66,66,112,0.3456762945747831,0.008683323720499417,-2.827156832995797,-8.583181244590996,-2.5628666873009056,-3.398741026920222,0.10865882923365183,-3.592785169857505,-3.86803765729089,-0.45151681848513414
