time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
38,30,17,32,52,51,15,25,61,54,56,29,56,39,54,80,70,24,105,24,51,9.47402459859344,6.898627210593512,32.78946625771276,3.186872526499253,20.248458336201452,13.14136106226625,13.236104250690566,7.514616635896924,30.172531023023247,3.3886170150197734,18.231841702467197,16.41250503790913,14.250862131777055,-0.12206776627483135,2.249357210099659,5.755316563204519,1.6951029525712378,3.322595906796521,-0.6652549065255912,6.251678540398249
39,30,17,32,52,52,15,25,62,54,55,29,58,40,54,79,70,25,107,25,53,9.4988493192109,6.939525269802303,32.728231358837014,3.290960594507687,20.123594020307383,13.191425911498078,13.345065958996836,7.604773349670081,30.016846107166756,3.421250610018442,18.505047331953115,16.48603640750987,14.242435074960373,-0.09699033110189621,2.2790038290801946,5.676580073670587,1.7026967566143456,3.3239725230133756,-0.6642647387335116,6.155889891331188
40,30,17,32,53,51,15,26,63,54,55,28,60,40,56,80,69,25,107,25,53,9.535860114080029,7.047720032380175,32.49652677342873,3.350454983749101,20.241799219083415,13.304321865344699,13.32195922780022,7.60580663852664,29.84799354021973,3.467148040946348,18.267140469405767,16.547099324049544,14.17484209024201,-0.0898016401020202,2.2792671966355127,5.679607530929376,1.7142483750478377,3.2808572024934253,-0.6522914507915699,6.097697750110161
41,31,18,30,54,53,15,26,63,54,55,27,61,40,57,79,70,25,107,24,53,9.551936903291368,7.03410586466171,32.571281070933146,3.4453379346364423,20.169962784626538,13.323958714243759,13.389369578507825,7.51231804551701,29.673938796984046,3.5200950993462135,18.311784948705654,16.523894357926217,14.17191096419705,-0.06834959477388346,2.2924211753115036,5.718289099355988,1.7188197667668699,3.2958695074533857,-0.6498471651265856,6.126161775123949
42,31,18,31,53,53,15,26,62,54,56,27,61,40,56,77,70,25,107,26,53,9.603579529376198,7.210695701584865,32.52118625278332,3.4779257852096763,20.18477768240287,13.342407575533754,13.277601422325079,7.528106133018543,29.715185718096638,3.575253225623087,18.457308479044986,16.447764720051474,14.14828891011285,-0.03634309614382146,2.3111240720470922,5.695704104117646,1.706845814725086,3.2702499941896956,-0.6497746241112978,6.11671616199405
43,33,18,35,54,57,15,26,62,54,57,27,62,41,57,76,70,25,107,26,52,9.662113168365748,7.28704340818938,32.36426558524365,3.5601036712427137,20.141504962326106,13.269022715710747,13.275839667837142,7.603209756286915,29.858083454736636,3.6347626934179753,18.407930694376226,16.313596764360554,14.098800072059216,0.010621041092407702,2.31450614961942,5.6590523357820155,1.6988373739959466,3.274392704934475,-0.6479812395468398,6.126681145993012
44,32,18,34,54,57,15,26,62,54,57,27,63,40,58,77,70,25,106,27,53,9.728392070371314,7.364478620434691,32.35229678170602,3.619847009428451,20.297779409772094,13.347820407448399,13.336097050989903,7.665115781722339,29.74180690017795,3.627172156316858,18.468054180146424,16.32884988722391,14.080310255258581,0.032703205064962576,2.340934902446963,5.665912617139527,1.6941602863632368,3.2463117689874177,-0.6421983115027247,6.074094785518118
45,33,18,33,54,58,15,25,62,56,57,27,64,42,58,77,71,25,108,25,54,9.854300981357296,7.429427404671025,32.07140711989992,3.685721541601592,20.145714401080216,13.42176500169738,13.395034165321222,7.618397098153003,29.419094624318767,3.6866074406861378,18.250062843177005,16.21517014581552,13.908128594830412,0.05785312411506125,2.341535699165198,5.681287280845529,1.698167578833492,3.263942534804035,-0.6351793246928908,6.02067530090916
46,33,18,33,55,58,15,24,62,59,57,27,66,45,58,77,72,25,109,26,54,9.9199440806699,7.545047486385633,32.09915720936559,3.759933144576682,20.130454175036647,13.460203878677486,13.3774865302457,7.6584364391458895,29.27879078789393,3.7295425291783015,18.141616629322986,16.198543696823794,13.956469632118834,0.08962675966317676,2.353757229633006,5.671755840551203,1.6959794041614122,3.241254441926376,-0.6333394927679619,6.008331298765529
47,35,18,33,55,60,16,26,62,59,58,29,66,44,58,75,71,25,111,26,55,10.034311678280313,7.617562119845915,31.840153496446565,3.823145487015297,20.20323761986521,13.445666895477608,13.205573889246313,7.672487274909014,29.368318686044237,3.7630566699217667,18.197079558868676,16.070951082218063,13.984000042438494,0.11483071157773973,2.366369471627034,5.6916621834277645,1.6958225126258537,3.252785404491619,-0.6263769614924297,5.981905445725157
