time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
35,104,98,48,84,55,75,64,49,59,30,78,55,40,44,39,23,50,30,47,30,-1494.2823435875212,-1401.280715597594,-1322.286415691506,-1239.1555638942355,-1181.0936032601662,-1100.2378861696222,-1006.0701206214958,-937.1988154364325,-840.6886992016322,-772.8270297419011,-706.2364267502155,-609.8130365552468,-526.284490573599,-442.4564928353702,-380.00843861675503,-303.525769580942,-221.24828203684737,-150.23642379180862,-57.318449560431596,15.053085230306616
36,105,101,48,83,54,75,65,49,61,29,77,57,40,44,38,25,48,30,47,30,-1494.229613058259,-1401.2579125971156,-1321.9150198084756,-1239.017948327021,-1181.074459643775,-1100.2214340399753,-1005.9212327078837,-937.1556050731791,-840.523408554408,-773.061560042206,-706.2015888351401,-609.5909592654896,-526.4692974162269,-443.2960022142323,-379.89394556861527,-303.5461119516153,-221.17108411031373,-150.2308696262223,-57.457266138382565,15.045584629149456
37,102,101,47,85,53,75,67,52,61,29,77,58,40,44,37,24,48,31,48,31,-1494.1778283624012,-1401.1795140630231,-1321.75105145236,-1239.1324815453295,-1181.0248863163256,-1100.1607941356954,-1005.8977972771484,-937.1237489735365,-841.499488472443,-773.0334308596965,-706.1759080141527,-609.5142002474611,-526.4166480745188,-443.20775209298563,-379.98842242245075,-303.4737673126118,-221.14595332625413,-150.2299700614048,-57.45891315337288,15.073761269845138
38,101,102,45,85,54,74,67,53,61,30,78,60,41,45,37,24,51,31,48,29,-1494.1814441721842,-1401.5282472706706,-1321.9522621946526,-1238.951636426965,-1180.9662468179422,-1100.1209329180333,-1005.9153855031103,-937.1135958099509,-841.2236597906265,-773.0341104479209,-706.1441050322132,-609.401183897257,-526.3640629353175,-443.05180112331726,-379.95262610877313,-303.53704974956065,-221.21001821827318,-150.2628052322365,-57.52113452826099,15.163578147073897
39,101,102,42,85,54,77,69,57,61,31,77,60,42,46,37,24,51,32,48,29,-1494.1548492411819,-1401.7563598768834,-1321.9633092563765,-1239.1672502364577,-1180.913252332348,-1100.082474731997,-1005.9159110311385,-937.1033064680153,-841.225654440054,-772.879030153327,-706.1072883340009,-609.3379855362551,-526.4805429402479,-442.9784059984068,-379.9184591464488,-303.54159029957054,-221.2918273809167,-150.24856339672306,-57.617691468671794,15.141039067469274
40,100,102,42,83,54,78,70,57,60,31,77,61,42,47,37,24,53,34,49,29,-1494.131016093691,-1401.7939218426502,-1321.7869104402046,-1239.0174730298472,-1180.859814116845,-1100.0637643064215,-1006.0937422631697,-937.0957624083929,-841.4843347835167,-772.8544684731132,-706.0449505171676,-609.6056211925285,-526.7348692680846,-443.0920082315966,-379.8832095125521,-303.5013410775732,-221.24836103953206,-150.19668176585023,-57.70532721759208,15.121637749681026
41,99,101,43,84,53,78,70,58,60,31,78,60,42,48,37,25,54,34,48,27,-1494.1235418353024,-1401.6827115896492,-1321.5333509532215,-1239.0512988858338,-1180.830173477482,-1100.018858741654,-1006.0350870743937,-937.1553530979442,-841.5196383087774,-772.855777272794,-706.028110873151,-609.4989508011798,-526.7988238401696,-443.064645114821,-379.9162223922086,-303.4401417749991,-221.21183972175825,-150.21151615015907,-57.65779565360424,15.077106723504027
42,98,102,43,83,53,76,70,61,61,31,78,61,41,48,37,26,55,32,48,27,-1494.1134273541577,-1401.7310149976197,-1321.5323299507622,-1239.0228275321538,-1180.7779044370493,-1100.016902226673,-1006.1058107709663,-937.1996646409779,-841.4882178134087,-772.9633848655973,-705.9613460288589,-609.4544311406183,-526.7030115329014,-443.2138260155421,-379.8943536991246,-303.4611726906258,-221.29474512279253,-150.16823367521678,-57.60561361245368,15.059392153195134
43,96,103,40,85,54,75,71,60,61,32,78,61,41,50,37,27,55,33,50,27,-1494.0827507526312,-1401.6964883776345,-1321.3934053493642,-1239.0621401601763,-1180.7287222519335,-1099.9842422342354,-1006.2805314134088,-937.1886976903755,-841.55808538707,-772.9723185640809,-705.932646115801,-609.3990503151091,-526.795426498117,-443.2959327790618,-379.94456474393075,-303.5983263886794,-221.20390577788544,-150.15069967038946,-57.64757177314676,15.089531983588973
44,98,103,40,85,55,75,70,62,59,32,79,65,42,50,37,26,56,32,49,27,-1494.0770840833845,-1401.6160990433673,-1321.3685443301044,-1239.3406968117781,-1180.6934785642152,-1099.9290207967072,-1006.1941872125115,-937.4448565175556,-841.4067228858097,-772.9472498823015,-705.885513945642,-609.5633160529038,-526.7760009647469,-443.3773108519079,-379.93957860368033,-303.55246523728164,-221.26667212613324,-150.1761720987935,-57.77240321177031,15.062386138652816
