time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
51,37,25,14,66,22,37,35,19,38,23,80,13,38,41,40,-0.9226534083254053,3.143136169961524,-2.4716565409435733,0.05634682178961354,2.3810776507246088,0.5135945899893568,-1.3393516396125653,-1.2779004339539124,7.260182338493421,2.2629318012346102,0.30608466459977973,3.265036226043681,-0.583952332668031,-3.2745236741459047,4.397978769473139
52,36,25,14,66,22,38,35,19,38,23,82,13,37,43,40,-0.9177627673161886,3.12339751052482,-2.4090173715276015,0.031089474726959523,2.378331607829149,0.5172981633948887,-1.3190834152657842,-1.2670769151215282,7.291554879153598,2.2742757228435093,0.3072080500804735,3.2508502635309675,-0.5817498831182921,-3.24795626490884,4.350564108938345
53,36,25,14,64,22,38,35,19,37,23,83,13,38,43,40,-0.9143140712709522,3.1099834436118656,-2.414014795784047,0.007882343293647115,2.382859563500842,0.528593751717752,-1.3048194924540648,-1.2360325090593451,7.26973596395899,2.2708154933873512,0.30625892098214474,3.2134784767982945,-0.5726325481315102,-3.2109986215852064,4.334678164373315
54,36,26,14,65,22,38,35,21,38,23,79,13,38,43,39,-0.9102443681298367,3.1035428463039776,-2.4219765354853724,0.01530747589733245,2.3906254172796295,0.5268911664680681,-1.2926680716568424,-1.165157524639173,7.265420302966092,2.258256122261038,0.3086029773808727,3.2000565827118006,-0.5701430166152925,-3.200437946057696,4.328227005253288
55,35,26,14,64,22,38,34,21,38,23,80,13,38,44,40,-0.9025223825615492,3.10372468016955,-2.4017854843228426,0.015257151471934837,2.3598203191096103,0.5270069626968859,-1.2892873693554534,-1.1691203173701685,7.247963255970528,2.2343606017938225,0.30639598352733655,3.2038149314001325,-0.5678442307508598,-3.1822422237788714,4.278709877188188
56,37,26,13,64,22,39,34,21,38,22,80,14,38,46,40,-0.8917185109174477,3.0873579370869524,-2.3772953660069223,0.04129647249528119,2.372916141119592,0.5291715056158499,-1.2867667732118477,-1.165368361019727,7.169975835087497,2.2470950528129348,0.3088512340700859,3.1942526418506976,-0.5717248500558918,-3.178320639725543,4.267435974384418
57,35,26,13,63,22,39,33,21,38,23,81,14,37,44,40,-0.8898079522614087,3.070575571447343,-2.382472522715472,0.033383922568302526,2.3674090375111634,0.5295408212692089,-1.2800537613938487,-1.148602982679735,7.209240367982041,2.2592437884462124,0.31267129070675087,3.1701942514376364,-0.5642975848320996,-3.168736826501821,4.2400637657252025
58,35,26,13,64,22,39,33,21,38,24,81,14,37,44,41,-0.8801550542670915,3.07315383377046,-2.3767596457424793,0.019650823295074286,2.3679594734646354,0.528555574471532,-1.2784455904312404,-1.1471538413852707,7.235710403110747,2.262201526157554,0.315065785079294,3.1675631890627245,-0.556664558905511,-3.156769961710654,4.233376966058425
59,35,26,12,66,22,39,33,21,37,24,82,14,37,45,41,-0.8776536010554211,3.071668297272812,-2.3556189576586477,-0.012999077455745757,2.363967275814125,0.5341390747542156,-1.2800086400383466,-1.120534459306513,7.17313704918962,2.2386273058127224,0.3135547252354134,3.1682064386808344,-0.5470637331624681,-3.116022231075255,4.2397711249805745
60,35,25,12,65,22,40,34,21,38,24,82,13,38,47,41,-0.8687569539372252,3.050289091355058,-2.3342571303611788,-0.0041245545072102485,2.338745310386698,0.5343142008798649,-1.254932210557074,-1.1118481329590566,7.1500787999593385,2.212074394994766,0.3137051653556184,3.16442163896818,-0.5467652752366788,-3.120853478590907,4.23357164276804
