time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
41,5839,5704,5721,5790,5782,5689,5815,5779,5714,-2.8987401890036133,49.03944916584964,29.94991530167684,-147.0121785831019,53.25059574198938,-176.1491136611197,25.712293558161292,106.68566166875003,63.00706014080395
42,5835,5733,5710,5793,5809,5682,5781,5813,5709,-0.7804594398457143,56.02979001350403,23.486861443397817,-143.5455300729901,60.771597730133685,-139.6382838360109,21.996388969925047,65.0756085959348,60.058849459467666
43,5857,5767,5756,5768,5791,5669,5833,5795,5735,-1.6823094948263633,53.375865759426766,26.895189216359206,-150.99433972041803,60.09545977656692,-86.72856499355923,9.974859679003764,68.47860563014522,61.09876661112681
44,5905,5751,5738,5760,5771,5698,5823,5773,5786,-4.128929677159256,46.166011476174326,-5.485565260831267,-144.00406153030409,57.298543342886866,-89.52110972032192,16.350468916896773,66.71886353007555,71.66586751884644
45,5858,5778,5744,5727,5823,5687,5843,5797,5776,7.056331252227723,63.859864210784686,-1.2378107569575725,-98.28728068567311,54.17197756121473,-81.89605132931392,43.316446503071404,82.64529750728292,88.43103858574803
46,5831,5762,5733,5760,5772,5714,5828,5787,5776,3.0732966095139584,58.06681178923978,14.147446121705407,-98.62559873396738,52.11185155054902,-74.0989836835266,40.514866665810594,81.35512979934782,68.24635564185903
47,5846,5762,5733,5765,5818,5700,5811,5785,5764,21.78653155690382,39.08220996228738,9.503343005888496,-53.73679464871258,37.69205897951946,-78.00403600697302,14.191847768827031,74.36627289522083,60.352826344342574
48,5866,5754,5739,5747,5818,5707,5772,5811,5755,20.425592186320408,44.87973541737447,-5.6153383864845665,-41.59986467136662,39.47996059287199,-66.40945731005503,20.36896066558862,61.67267036907495,70.153698551948
49,5841,5784,5725,5764,5811,5724,5769,5784,5774,13.907932874344537,50.769280262269575,-11.398721282510005,45.606288721665905,2.2397308415675328,-42.134093059594186,28.722638336961552,68.49040383474264,68.61440548390954
50,5846,5780,5743,5748,5817,5736,5770,5751,5809,-2.4230861938252217,46.55179852281743,-9.647238638418912,47.070745825721694,19.276752321495696,-41.27104947649572,24.630416503650363,62.215835321226386,79.53676995263704
51,5850,5821,5728,5721,5789,5730,5770,5759,5778,-7.795421695220222,45.39402827187404,16.26188460142745,52.32603041805282,13.912805779895104,-43.797627519968486,32.24142380751148,79.67245582762328,64.96620837009483
52,5874,5805,5726,5738,5825,5734,5778,5761,5779,-20.156399658201057,57.620736138476595,21.907674862533476,58.519780781856305,25.70417119698831,-63.276104201207225,45.590874083833896,64.45584993497191,67.67525597792317
53,5853,5778,5753,5765,5813,5722,5769,5812,5784,-42.98094996082998,68.31100301809286,11.59792498971555,53.932911145881235,11.980640086356717,-67.02719100523608,53.147774194451046,57.48941493861199,53.77015861040139
54,5861,5791,5749,5774,5767,5738,5814,5804,5790,-26.891272314894696,42.774076723042214,-14.427404952325258,29.95582750560153,-27.48625874174709,-55.77621757201345,46.077218305553785,63.42486759986646,80.65236597255452
55,5830,5798,5790,5743,5755,5758,5784,5806,5785,-14.50686536847916,43.90787076304894,-15.98673664815492,47.01916759803825,-24.471323581644562,-58.40890291789091,49.26878860304753,43.424221547817105,63.442986456192536
56,5875,5781,5779,5731,5763,5697,5767,5794,5786,-33.70901599280809,47.62295968794914,3.039213488634593,47.61613892361368,-54.27947629602162,-35.83256379835796,27.28598382532216,45.22726625576561,71.57561079697965
57,5890,5795,5762,5771,5788,5680,5796,5831,5787,-34.21978559758059,61.88374384288349,3.054843725613339,36.861286018668075,-33.87952817788373,-37.68934212282035,19.21934240471191,49.80046701953846,61.19260590532588
58,5879,5834,5749,5787,5751,5711,5781,5816,5712,-23.215331962803504,53.09121673331426,11.878722159815663,34.20498827920101,-42.78708856620035,-27.906711751935216,4.554080161873127,39.80406441772241,76.34143592019578
59,5877,5782,5755,5755,5793,5681,5810,5786,5750,-23.63397543316285,55.392490463649644,8.56323232098106,22.88098731282196,-49.93585319665232,-18.938305362957387,20.685539564370984,44.50256722051199,60.94073044992197
60,5867,5764,5752,5758,5742,5674,5797,5778,5732,-34.07488645168808,43.05235006166506,6.785785476808498,27.17714667823393,-47.005051541261295,-30.7645898240654,20.789095291765406,49.83497236604405,47.303467671980954
61,5856,5778,5755,5783,5782,5706,5822,5792,5729,-33.301639056562884,45.355320912209564,7.731645367747546,47.04854386551252,-64.89865405777967,-44.57406862802224,-3.792183284079325,51.82849496767794,46.94025057629852
62,5861,5749,5767,5768,5751,5713,5845,5759,5764,-20.703288966612767,36.0643177008128,38.425724036533715,70.7124069058867,-53.487846328928406,-49.83774881614364,-3.862766598324933,46.79920076293713,23.96641220423935
63,5896,5724,5753,5704,5760,5722,5822,5731,5793,-7.731890208979448,55.79396516995198,36.17956502106546,44.17014226288642,-52.6982150589582,-54.70293889523082,-20.20622215639717,39.00999988547952,10.725340322315818
64,5887,5717,5777,5701,5742,5702,5839,5717,5776,25.285924958433295,47.32658295541679,35.30877494338287,31.241499222714122,-24.474521395404306,-64.11069394147073,-16.27215499253008,56.44137113597948,9.781356289512209
65,5833,5712,5756,5696,5775,5709,5855,5767,5762,15.6581124380269,46.706951917442595,35.38311142137307,70.14925407913476,-1.1490184161573649,-54.15921297022998,-0.2634106335139937,46.27626263909679,16.26885355013551
66,5833,5722,5770,5732,5747,5699,5884,5776,5737,15.791300140255608,45.21215626472901,47.630999368496404,74.76214037549148,9.152989226784143,-37.22059031555297,4.821062612934079,55.301413476796036,19.56975271339876
67,5815,5711,5750,5754,5749,5714,5819,5757,5735,-4.377615083736347,40.18007820385363,61.38585386925779,48.05112996048832,0.8252388052246636,-31.54649805884295,8.290747400752538,65.37821571475027,25.638284415253665
68,5773,5726,5785,5729,5756,5734,5814,5733,5765,-30.027282414845793,44.73977205397263,62.73014313034407,40.53173281512149,-3.670485244541367,-19.615145080325668,-12.303680060801158,60.747904895050866,10.882773239549664
69,5799,5759,5778,5702,5772,5734,5799,5720,5772,-42.41272908517255,13.08184933601891,58.51010054626771,38.553891163012594,6.1736174400611885,-11.298327791591154,-43.44439100054296,71.68414103331561,10.14390688697762
70,5823,5741,5758,5713,5787,5760,5853,5699,5782,-32.626642095196246,21.508270796138504,71.85611519565863,35.6932906970871,64.60986652692581,-9.462958614883407,-55.02750859744532,74.41619681252043,22.18306667644754
