time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
43,5101,5463,5497,4651,5410,5065,5434,5448,4938,4876,4974,-4548.782540628168,7265.737335976307,-163.11964254664457,12956.1866672985,4101.9456677973785,5607.820146298329,1125.1483049532624,-309.95016144444975,-14387.836208247265,7389.374819868311,-10292.278181361235
44,5199,5538,5545,4755,5473,5149,5519,5548,4999,4955,5024,-4554.790974043462,7313.339720395711,-152.21115659833308,12891.141258939484,4087.716306444436,5554.309208581022,1130.4176028673598,-304.309192161908,-14410.223916510862,7412.435470833301,-10298.662370725146
45,5258,5578,5583,4867,5589,5236,5528,5628,5062,5017,5109,-4541.073624254727,7296.720082508125,-150.8896122315751,13212.89777854596,4105.599796881773,5484.944272093432,1123.7778519952249,-309.87241042407015,-14531.202377793747,7374.023515212422,-10313.671684905077
46,5260,5637,5678,4939,5662,5288,5577,5649,5150,5107,5160,-4502.160605002727,7304.878477896643,-150.46805970068527,13256.323164958492,4084.797856638093,5398.135820200978,1126.2510004274811,-309.9796776121035,-14601.301959461574,7330.305659921663,-10116.182459815269
47,5346,5672,5744,4999,5735,5433,5689,5684,5244,5199,5205,-4462.160464070006,7330.025026499317,-142.72413912724645,13484.048897135011,4007.4080114802573,5355.772615853272,1136.4367237202102,-312.50248553368874,-14540.747211641401,7276.25353177039,-10106.410811499247
48,5466,5688,5786,5133,5731,5509,5749,5741,5325,5263,5243,-4449.7019649866315,7332.566515280337,-137.70671535837144,13425.305992094422,3998.527191180604,5296.238570365737,1136.5621373389697,-309.7261814105544,-14072.455392019932,7299.299962963711,-10055.494228817086
49,5559,5713,5807,5256,5762,5541,5777,5784,5422,5341,5294,-4426.557805073412,7327.068246705545,-124.59398254308125,13603.796778711658,3989.3778248838616,5268.633928695097,1131.0862117905253,-309.2613246457223,-14127.701806084297,7296.374322487508,-9883.222969762817
50,5638,5780,5862,5383,5816,5604,5815,5875,5516,5402,5342,-4413.7214664056655,7285.44856608704,-122.98941393846938,13660.76970078197,4005.040151918459,5230.857040143142,1134.6147981425383,-311.1863828936716,-14075.373939376776,7238.4830489843525,-9374.45034093851
51,5695,5837,5869,5381,5885,5700,5804,5933,5573,5438,5407,-4432.047908305266,7296.280501650552,-117.64000474071476,13527.210034801534,3998.679909075184,5245.709002500951,1132.5687976098566,-306.3661147048557,-14023.145507196536,7153.518984654297,-9308.330303091188
52,5673,5847,5868,5441,5959,5732,5872,5971,5635,5504,5497,-4420.377990068058,7284.36438357195,-113.20873212982332,13501.57697698562,3988.17569778646,5207.8157582753665,1127.8907037108006,-304.01326524778466,-13756.059800904595,6992.295866503859,-9073.659757078221
53,5682,5849,5863,5518,6007,5781,5893,6037,5690,5588,5509,-4410.431225844539,7262.860732533198,-108.97367097055624,13515.469723388638,3966.520849498936,5259.151268369367,1129.842967686902,-296.8895356071786,-13615.254218634256,6907.333318326153,-8785.25082311318
54,5691,5864,5838,5609,6000,5827,5921,6092,5757,5703,5542,-4374.223188775568,7195.717615743085,-106.16427578852847,13652.905699191788,3922.8444641891724,5290.701340792759,1127.2968173438917,-299.83728174396106,-13523.309547425775,6788.574890796106,-8784.149183941783
55,5741,5874,5889,5682,6046,5914,5918,6097,5781,5780,5594,-4368.871669732957,7282.678996855318,-97.44661854336756,14035.367141983705,3903.872752546157,5309.995778739915,1121.701575213085,-292.75516979681885,-13518.673671054652,6748.0343453234445,-8795.02655918077
56,5754,5857,5827,5800,6077,5931,5936,6107,5801,5821,5622,-4368.715570428748,7221.7582311033775,-102.48448123753137,13898.776094920371,3930.19192439309,5312.243083666996,1120.4264218736755,-286.8315031549328,-13470.029507323146,6649.610973769139,-8780.529189802593
57,5786,5856,5822,5846,6129,5973,6042,6084,5875,5836,5662,-4354.638730792808,7253.286402016129,-109.39126108192504,13913.981227727656,3926.328936552059,5267.427531180394,1120.2296010868565,-277.2317748538048,-13471.646398569614,6635.6052065709355,-8758.210801646212
58,5843,5878,5823,5962,6157,6022,6036,6045,5885,5866,5675,-4363.212099732007,7182.131137707272,-107.60670357025917,13925.213183700436,3899.940669965556,5225.3972577923905,1121.3418822455162,-281.1149981838252,-13175.724451562008,6619.792397224893,-8755.835524131837
